nome;estado;populacao;latitude;longitude
Rondônia;RO;1815278;-10.83;-63.34
Acre;AC;906876;-8.77;-70.55
Amazonas;AM;4269995;-3.47;-65.1
Roraima;RR;652713;1.99;-61.33
Pará;PA;8777124;-3.79;-52.48
Amapá;AP;877613;1.41;-51.77
Tocantins;TO;1607363;-9.46;-48.26
Maranhão;MA;7153262;-5.42;-45.44
Piauí;PI;3289290;-6.6;-42.28
Ceará;CE;9240580;-5.2;-39.53
Rio Grande do Norte;RN;3560903;-5.81;-36.59
Paraíba;PB;4059905;-7.28;-36.72
Pernambuco;PE;9674793;-8.38;-37.86
Alagoas;AL;3365351;-9.62;-36.82
Sergipe;SE;2338474;-10.57;-37.45
Bahia;BA;14985284;-13.29;-41.71
Minas Gerais;MG;21411923;-18.1;-44.38
Espírito Santo;ES;4108508;-19.19;-40.34
Rio de Janeiro;RJ;17463349;-22.25;-42.66
São Paulo;SP;46649132;-22.19;-48.79
Paraná;PR;11597484;-24.89;-51.55
Santa Catarina;SC;7338473;-27.45;-50.95
Rio Grande do Sul;RS;11466630;-30.17;-53.5
Mato Grosso do Sul;MS;2839188;-20.51;-54.54
Mato Grosso;MT;3567234;-12.64;-55.42
Goiás;GO;7206589;-15.98;-49.86
Distrito Federal;DF;3094325;-15.83;-47.86
